Year,Units,Total,Region,GeoCode,Value
2013,Square Kilometer,Total,Zambezi,14,95.3766
2014,Square Kilometer,Total,,,344.7002
2014,Square Kilometer,Total,!Karas,1,52.60152
2014,Square Kilometer,Total,Erongo,2,67.06044
2014,Square Kilometer,Total,Hardap,3,38.21434
2014,Square Kilometer,Total,Kavango East,4,19.84838
2014,Square Kilometer,Total,Kavango West,5,6.5853
2014,Square Kilometer,Total,Khomas,6,4.19764
2014,Square Kilometer,Total,Kunene,7,23.23496
2014,Square Kilometer,Total,Ohangwena,8,0.06196
2014,Square Kilometer,Total,Omaheke,9,0.36754
2014,Square Kilometer,Total,Omusati,10,9.29116
2014,Square Kilometer,Total,Oshana,11,5.63936
2014,Square Kilometer,Total,Oshikoto,12,0.16088
2014,Square Kilometer,Total,Otjozondjupa,13,12.35684
2014,Square Kilometer,Total,Zambezi,14,105.07988
2015,Square Kilometer,Total,,,336.19338
2015,Square Kilometer,Total,!Karas,1,51.84204
2015,Square Kilometer,Total,Erongo,2,66.98194
2015,Square Kilometer,Total,Hardap,3,37.42328
2015,Square Kilometer,Total,Kavango East,4,19.83668
2015,Square Kilometer,Total,Kavango West,5,6.55422
2015,Square Kilometer,Total,Khomas,6,4.1877
2015,Square Kilometer,Total,Kunene,7,23.10324
2015,Square Kilometer,Total,Ohangwena,8,0.06044
2015,Square Kilometer,Total,Omaheke,9,0.41428
2015,Square Kilometer,Total,Omusati,10,8.58036
2015,Square Kilometer,Total,Oshana,11,4.51298
2015,Square Kilometer,Total,Oshikoto,12,0.12926
2015,Square Kilometer,Total,Otjozondjupa,13,11.26004
2015,Square Kilometer,Total,Zambezi,14,101.30692
,,Total,,,
